"Población total",
"Tamaño de localidad : Total",
,
"Consulta de: Población total con estimación  Por: Edad  Según: Entidad municipio y loc",
,
,
,"Total"
"Total",97483412
"De 0 a 4 años",10635157
"0 años",2061431
"1 año",2026317
"2 años",2102170
"3 años",2169299
"4 años",2275940
"De 5 a 9 años",11215323
"5 años",2250886
"6 años",2235729
"7 años",2235275
"8 años",2270639
"9 años",2222794
"De 10 a 14 años",10736493
"10 años",2256844
"11 años",2087234
"12 años",2185691
"13 años",2104224
"14 años",2102500
"De 15 a 19 años",9992135
"15 años",2090034
"16 años",1990081
"17 años",2043689
"18 años",2088225
"19 años",1780106
"De 20 a 24 años",9071134
"20 años",1926366
"21 años",1613827
"22 años",1907661
"23 años",1827599
"24 años",1795681
"De 25 a 29 años",8157743
"25 años",1807349
"26 años",1623304
"27 años",1628036
"28 años",1608605
"29 años",1490449
"De 30 a 34 años",7136523
"30 años",1810657
"31 años",1158527
"32 años",1520939
"33 años",1345386
"34 años",1301014
"De 35 a 39 años",6352538
"35 años",1400700
"36 años",1306140
"37 años",1132935
"38 años",1322518
"39 años",1190245
"De 40 a 44 años",5194833
"40 años",1427065
"41 años",778452
"42 años",1196305
"43 años",925881
"44 años",867130
"De 45 a 49 años",4072091
"45 años",1024667
"46 años",757310
"47 años",711356
"48 años",824930
"49 años",753828
"De 50 a 54 años",3357953
"50 años",976434
"51 años",483460
"52 años",705985
"53 años",583615
"54 años",608459
"De 55 a 59 años",2559231
"55 años",614546
"56 años",541408
"57 años",443908
"58 años",505616
"59 años",453753
"De 60 a 64 años",2198146
"60 años",705971
"61 años",277947
"62 años",410275
"63 años",419888
"64 años",384065
"De 65 a 69 años",1660785
"65 años",471925
"66 años",309911
"67 años",299570
"68 años",323837
"69 años",255542
"De 70 a 74 años",1245674
"70 años",438446
"71 años",146798
"72 años",251367
"73 años",205106
"74 años",203957
"De 75 y más años",1843852
"75 años",259787
"76 años",172713
"77 años",138147
"78 años",173143
"79 años",121480
"80 años",197287
"81 años",59996
"82 años",87528
"83 años",69506
"84 años",69559
"85 años",89461
"86 años",61189
"87 años",52146
"88 años",44875
"89 años",42380
"90 años",57693
"91 años",15215
"92 años",19786
"93 años",15755
"94 años",13557
"95 años",17902
"96 años",12270
"97 años",8735
"98 años",11197
"99 años",12788
"100 y más años",19757
"No especificado",2053801
"Fuente: INEGI. XII Censo General de Población y Vivienda 2000.",
